Iteration,Algorithm,Resolution,GPU Time (ms),CPU Time (ms),PSNR (dB),SSIM
71,DCT (Legacy),FHD,0.283,1.0689,42.0146,13.1316,0.0587654
72,DCT (Legacy),FHD,0.284,1.06906,40.7151,13.1228,0.0586132
72,DCT (Legacy),FHD,0.285,1.06845,42.0238,13.1142,0.0584605
72,DCT (Legacy),FHD,0.286,1.08691,44.9001,13.1054,0.0583094
72,DCT (Legacy),FHD,0.287,1.06758,44.1041,13.0968,0.0581637
73,DCT (Legacy),FHD,0.288,1.06701,41.9523,13.0884,0.0580215
73,DCT (Legacy),FHD,0.289,1.06858,40.9844,13.0799,0.0578766
73,DCT (Legacy),FHD,0.29,1.07107,41.1787,13.0715,0.0577331
73,DCT (Legacy),FHD,0.291,1.06861,42.6248,13.063,0.0575928
74,DCT (Legacy),FHD,0.292,1.06902,41.3843,13.0547,0.057452
74,DCT (Legacy),FHD,0.293,1.06733,41.983,13.0465,0.0573103
74,DCT (Legacy),FHD,0.294,1.57901,41.7727,13.0383,0.057175
74,DCT (Legacy),FHD,0.295,1.0711,40.0762,13.0301,0.057036
75,DCT (Legacy),FHD,0.296,1.06691,41.7323,13.0221,0.056898
75,DCT (Legacy),FHD,0.297,1.0673,41.1115,13.0139,0.0567625
75,DCT (Legacy),FHD,0.298,1.06774,42.1642,13.0059,0.0566268
75,DCT (Legacy),FHD,0.299,1.0711,46.5127,12.998,0.0564935
76,DCT (Legacy),FHD,0.3,1.06979,42.567,12.9901,0.0563638
76,DCT (Legacy),FHD,0.301,1.06688,48.4774,12.9823,0.0562335
76,DCT (Legacy),FHD,0.302,1.65219,44.1541,12.9744,0.0561064
76,DCT (Legacy),FHD,0.303,1.06691,40.9018,12.9668,0.055978
77,DCT (Legacy),FHD,0.304,1.06928,43.2619,12.959,0.0558534
77,DCT (Legacy),FHD,0.305,1.06819,43.3263,12.9514,0.0557265
77,DCT (Legacy),FHD,0.306,1.09568,40.7822,12.9438,0.0556075
77,DCT (Legacy),FHD,0.307,1.06701,40.801,12.9363,0.0554868
78,DCT (Legacy),FHD,0.308,1.06701,41.9391,12.9289,0.0553678
78,DCT (Legacy),FHD,0.309,1.06883,41.3427,12.9214,0.0552469
78,DCT (Legacy),FHD,0.31,1.07059,40.8688,12.9139,0.0551246
78,DCT (Legacy),FHD,0.311,1.06934,43.5445,12.9067,0.0550022
79,DCT (Legacy),FHD,0.312,2.25821,42.6699,12.8992,0.0548841
79,DCT (Legacy),FHD,0.313,1.06883,42.7688,12.8919,0.0547674
79,DCT (Legacy),FHD,0.314,1.06899,42.5289,12.8848,0.0546506
79,DCT (Legacy),FHD,0.314999,1.06947,42.7788,12.8775,0.0545361
80,DCT (Legacy),FHD,0.315999,1.0679,41.3366,12.8704,0.0544252
80,DCT (Legacy),FHD,0.316999,1.06906,41.4381,12.8632,0.0543127
80,DCT (Legacy),FHD,0.317999,1.06912,42.5866,12.8563,0.0541984
80,DCT (Legacy),FHD,0.318999,1.06752,43.2029,12.8493,0.0540887
81,DCT (Legacy),FHD,0.319999,1.06906,41.1647,12.8423,0.0539815
