Iteration,Algorithm,Resolution,ALPHA,GPU Time (ms),CPU Time (ms),PSNR (dB),SSIM
80,DCT (Legacy),FHD,0.315999,1.06307,172.123,12.8704,0.0544252
80,DCT (Legacy),FHD,0.316999,1.06458,162.731,12.8632,0.0543127
80,DCT (Legacy),FHD,0.317999,1.06291,170.352,12.8563,0.0541984
80,DCT (Legacy),FHD,0.318999,1.0623,168.281,12.8493,0.0540887
81,DCT (Legacy),FHD,0.319999,1.06291,165.586,12.8423,0.0539815
81,DCT (Legacy),FHD,0.320999,1.07206,172.144,12.8354,0.0538685
81,DCT (Legacy),FHD,0.321999,1.06304,178.547,12.8285,0.0537652
81,DCT (Legacy),FHD,0.322999,1.62835,159.253,12.8216,0.0536588
82,DCT (Legacy),FHD,0.323999,1.0648,174.613,12.8147,0.0535511
82,DCT (Legacy),FHD,0.324999,1.05702,222.16,12.808,0.0534437
82,DCT (Legacy),FHD,0.325999,1.06307,219.369,12.8014,0.0533382
82,DCT (Legacy),FHD,0.326999,1.06291,225.507,12.7946,0.0532324
83,DCT (Legacy),FHD,0.327999,1.06451,194.59,12.7879,0.053129
83,DCT (Legacy),FHD,0.328999,1.08749,163.654,12.7814,0.0530304
83,DCT (Legacy),FHD,0.329999,1.0793,159.756,12.7747,0.0529251
83,DCT (Legacy),FHD,0.330999,1.06291,159.637,12.7681,0.052827
84,DCT (Legacy),FHD,0.331999,2.18115,162.827,12.7616,0.0527268
84,DCT (Legacy),FHD,0.332999,1.08083,157.97,12.7552,0.0526266
84,DCT (Legacy),FHD,0.333999,1.06291,169.954,12.7488,0.0525282
84,DCT (Legacy),FHD,0.334999,1.06291,157.514,12.7423,0.0524333
85,DCT (Legacy),FHD,0.335999,1.0639,160.53,12.7359,0.0523378
85,DCT (Legacy),FHD,0.336999,1.0633,156.551,12.7297,0.0522431
85,DCT (Legacy),FHD,0.337999,1.06291,156.373,12.7233,0.0521516
85,DCT (Legacy),FHD,0.338999,1.06394,169.156,12.7171,0.0520585
86,DCT (Legacy),FHD,0.339999,1.06304,161.365,12.7109,0.0519673
86,DCT (Legacy),FHD,0.340999,1.05357,158.893,12.7047,0.0518731
86,DCT (Legacy),FHD,0.341999,1.08733,160.404,12.6985,0.0517819
86,DCT (Legacy),FHD,0.342999,1.06339,159.084,12.6922,0.0516891
87,DCT (Legacy),FHD,0.343999,1.05882,158.924,12.6863,0.051598
87,DCT (Legacy),FHD,0.344999,1.06301,167.167,12.6802,0.0515075
87,DCT (Legacy),FHD,0.345999,1.06048,163.505,12.6741,0.0514173
87,DCT (Legacy),FHD,0.346999,1.05882,155.281,12.6681,0.0513291
88,DCT (Legacy),FHD,0.347999,1.06288,157.053,12.6622,0.0512428
88,DCT (Legacy),FHD,0.348999,1.05898,162.407,12.6561,0.0511566
88,DCT (Legacy),FHD,0.349999,1.06176,155.93,12.6503,0.0510687
88,DCT (Legacy),FHD,0.350999,1.0641,154.585,12.6443,0.0509884
89,DCT (Legacy),FHD,0.351999,1.05594,167.939,12.6386,0.050903
89,DCT (Legacy),FHD,0.352999,1.79606,157.175,12.6326,0.0508229
89,DCT (Legacy),FHD,0.353999,1.06307,158.31,12.6268,0.0507395
